,symbol,ep,sl,tp
0,ERTHAUSDT,0.001068,0.00104664,0.0011214
1,DOGEUSDT,0.127,0.12446,0.13335
2,PEPEUSDT,1.1236e-05,1.1011280000000001e-05,1.17978e-05
3,TAIUSDT,0.17162,0.1681876,0.180201
4,ENAUSDT,0.3602,0.35299600000000003,0.37821000000000005
5,WENUSDT,0.000118,0.00011564,0.0001239
6,HBARUSDT,0.06054,0.0593292,0.063567
7,FLOKIUSDT,0.000166026,0.00016270548,0.0001743273
8,NOTUSDT,0.009315,0.0091287,0.009780750000000001
9,SONUSDT,0.0002624,0.00025715199999999997,0.00027552
10,MEMEUSDT,0.012177,0.01193346,0.012785850000000001
11,MOGUSDT,1.553e-06,1.52194e-06,1.63065e-06
12,ADAUSDT,0.3953,0.38739399999999996,0.415065
13,PUMLXUSDT,0.004383,0.00429534,0.00460215
14,MSTARUSDT,0.01712,0.0167776,0.017976
15,RACAUSDT,0.00024169,0.00023685619999999998,0.0002537745
16,BRETTUSDT,0.09613,0.0942074,0.1009365
17,GUMMYUSDT,0.012285,0.012039300000000001,0.012899250000000001
18,SHIBUSDT,1.96471e-05,1.9254158e-05,2.0629455e-05
19,FLRUSDT,0.01638,0.016052399999999998,0.017199
